Date,USGG10YR Index  (R1),GDGCAFJP Index  (L1)
2017-02-09,2.3948,2.744
2017-02-10,2.4073,2.713
2017-02-15,2.4932,2.216
2017-02-16,2.4467,2.37
2017-02-22,2.4129,2.508
2017-02-24,2.3117,2.484
2017-02-27,2.365,2.48
2017-03-01,2.4526,1.791
2017-03-02,2.4779,1.527
2017-03-03,2.478,1.507
2017-03-06,2.4997,1.295
2017-03-07,2.5179,1.312
2017-03-08,2.5597,1.246
2017-03-09,2.6053,1.229
2017-03-10,2.5745,0.937
2017-03-14,2.6002,0.924
2017-03-15,2.493,0.914
2017-03-16,2.5402,0.906
2017-03-17,2.5005,0.964
2017-03-22,2.405,0.857
2017-03-23,2.4194,0.968
2017-03-24,2.4123,1.004
2017-03-27,2.3782,1.062
2017-03-28,2.4178,1.303
2017-03-31,2.3874,0.898
2017-04-03,2.3193,1.188
2017-04-04,2.3605,1.233
2017-04-05,2.3354,0.821
2017-04-07,2.3822,0.633
2017-04-12,2.2392,0.697
2017-04-13,2.2374,0.695
2017-04-18,2.1682,0.452
2017-04-21,2.248,0.481
2017-04-25,2.3322,0.468
2017-04-26,2.3035,0.435
2017-04-27,2.2946,0.17
2017-05-01,2.318,4.273
2017-05-03,2.318,4.031
2017-05-04,2.3541,4.179
2017-05-05,2.3487,3.728
2017-05-09,2.3977,3.6
2017-05-10,2.4141,3.514
2017-05-12,2.3257,3.647
2017-05-16,2.3257,4.085
2017-05-18,2.2294,3.991
2017-05-23,2.2799,3.887
2017-05-24,2.2502,3.785
2017-05-25,2.2554,3.557
2017-05-26,2.2465,3.673
2017-05-30,2.2098,3.819
2017-06-01,2.2114,3.976
2017-06-02,2.1591,3.422
2017-06-05,2.1817,3.092
2017-06-09,2.2005,2.988
2017-06-12,2.2145,2.971
2017-06-13,2.2109,3.004
2017-06-14,2.1256,3.158
2017-06-15,2.1637,2.934
2017-06-16,2.1514,2.878
2017-06-21,2.1634,2.849
2017-06-23,2.1423,2.96
2017-06-26,2.137,2.861
2017-06-28,2.2279,2.694
2017-06-30,2.3037,2.718
2017-07-03,2.3499,2.952
2017-07-05,2.3232,2.595
2017-07-06,2.3659,2.679
2017-07-07,2.3856,2.522
2017-07-11,2.3605,2.554
2017-07-13,2.3444,2.67
2017-07-14,2.3319,2.441
2017-07-18,2.259,2.499
